,sex
PlucBRD91DX_001,0
PlucBRD91DX_002,1
PlucBRD91DX_003,0
PlucBRD91DX_004,1
PlucBRD91DX_005,0
PlucBRD91DX_006,1
PlucBRD91DX_007,0
PlucBRD91DX_008,1
PlucW16CRU_001,0
PlucW16CRU_002,0
PlucW16CRU_006,0
PlucW16CRU_007,0
PlucW16CRU_010,0
PlucW16CRU_013,0
PlucW16CRU_015,1
PlucW16CRU_016,0
PlucW16CRU_017,1
PlucW16CRU_020,0
PlucW16CRU_026,0
PlucW16CRU_027,0
PlucW16CRU_028,1
PlucW16CRU_029,1
PlucW16CRU_030,0
PlucW16CRU_031,1
PlucW16CRU_036,1
PlucW16CRU_038,1
PlucW16CRU_040,0
PlucW16CRU_041,1
PlucW16CRU_043,1
PlucW16CRU_046,0
PlucW16CRU_048,1
PlucW16CRU_050,0
PlucW16CRU_051,0
PlucW16CRU_056,0
PlucW16CRU_058,1
PlucW16CRU_062,1
PlucW16CRU_066,1
PlucW16CRU_068,1
PlucW16CRU_071,1
PlucW18GRN_001,1
PlucW18GRN_003,0
PlucW19GRN_001,0
PlucW19GRN_003,0
PlucW19GRN_006,0
PlucW19GRN_008,1
PlucW19GRN_031,0
PlucW19GRN_032,1
PlucW19GRN_034,1
PlucW19GRN_036,1
PlucW19GRN_040,0
PlucW19GRN_053,1
PlucW19GRN_063,1
PlucW19GRN_068,0
PlucW19GRN_071,1
PlucW19GRN_078,0
PlucW19GRN_079,1
PlucW19GRN_083,1
PlucW19GRN_086,0
PlucW19GRN_088,1
